InteractionID,InteractionType,Outcome,CustomerID,DateID
1,Support Call,Closed,1,1
2,Product Inquiry,Resolved,2,2
3,Feedback,Escalated,3,3
4,Product Inquiry,Closed,4,4
5,Feedback,Pending,5,5
6,Feedback,Escalated,6,6
7,Product Inquiry,Closed,7,7
8,Support Call,Closed,8,8
9,Feedback,Pending,9,9
10,Product Inquiry,Closed,10,10
11,Product Inquiry,Resolved,11,11
12,Product Inquiry,Resolved,12,12
13,Product Inquiry,Resolved,13,13
14,Support Call,Closed,14,14
15,Support Call,Closed,15,15
16,Product Inquiry,Closed,16,16
17,Feedback,Resolved,17,17
18,Product Inquiry,Pending,18,18
19,Product Inquiry,Closed,19,19
20,Support Call,Closed,20,20
21,Support Call,Pending,21,21
22,Feedback,Escalated,22,22
23,Feedback,Resolved,23,23
24,Support Call,Pending,24,24
25,Support Call,Escalated,25,25
26,Product Inquiry,Closed,26,26
27,Product Inquiry,Closed,27,27
28,Product Inquiry,Resolved,28,28
29,Support Call,Resolved,29,29
30,Support Call,Closed,30,30
31,Feedback,Resolved,31,31
32,Feedback,Resolved,32,32
33,Feedback,Closed,33,33
34,Feedback,Escalated,34,34
35,Product Inquiry,Resolved,35,35
36,Feedback,Pending,36,36
37,Feedback,Resolved,37,37
38,Feedback,Resolved,38,38
39,Product Inquiry,Closed,39,39
40,Feedback,Escalated,40,40
41,Product Inquiry,Closed,41,41
42,Support Call,Closed,42,42
43,Product Inquiry,Pending,43,43
44,Product Inquiry,Escalated,44,44
45,Product Inquiry,Resolved,45,45
46,Product Inquiry,Escalated,46,46
47,Feedback,Closed,47,47
48,Product Inquiry,Pending,48,48
49,Feedback,Resolved,49,49
50,Feedback,Escalated,50,50
51,Product Inquiry,Resolved,51,51
52,Product Inquiry,Resolved,52,52
53,Support Call,Escalated,53,53
54,Support Call,Resolved,54,54
55,Product Inquiry,Resolved,55,55
56,Product Inquiry,Closed,56,56
57,Product Inquiry,Escalated,57,57
58,Feedback,Pending,58,58
59,Support Call,Closed,59,59
60,Product Inquiry,Escalated,60,60
61,Product Inquiry,Resolved,61,61
62,Support Call,Pending,62,62
63,Feedback,Pending,63,63
64,Support Call,Closed,64,64
65,Support Call,Pending,65,65
66,Product Inquiry,Closed,66,66
67,Support Call,Closed,67,67
68,Support Call,Pending,68,68
69,Support Call,Pending,69,69
70,Feedback,Resolved,70,70
71,Product Inquiry,Resolved,71,71
72,Support Call,Resolved,72,72
73,Feedback,Pending,73,73
74,Support Call,Closed,74,74
75,Product Inquiry,Escalated,75,75
76,Product Inquiry,Resolved,76,76
77,Feedback,Resolved,77,77
78,Support Call,Closed,78,78
79,Support Call,Pending,79,79
80,Support Call,Escalated,80,80
81,Support Call,Resolved,81,81
82,Product Inquiry,Closed,82,82
83,Support Call,Escalated,83,83
84,Product Inquiry,Closed,84,84
85,Support Call,Escalated,85,85
86,Product Inquiry,Escalated,86,86
87,Support Call,Pending,87,87
88,Support Call,Closed,88,88
89,Feedback,Pending,89,89
90,Support Call,Pending,90,90
91,Product Inquiry,Closed,91,91
92,Feedback,Resolved,92,92
93,Feedback,Pending,93,93
94,Support Call,Closed,94,94
95,Feedback,Closed,95,95
96,Product Inquiry,Pending,96,96
97,Feedback,Pending,97,97
98,Product Inquiry,Escalated,98,98
99,Support Call,Pending,99,99
100,Feedback,Pending,100,100
101,Support Call,Closed,101,101
102,Product Inquiry,Escalated,102,102
103,Feedback,Closed,103,103
104,Support Call,Pending,104,104
105,Feedback,Resolved,105,105
106,Feedback,Closed,106,106
107,Feedback,Resolved,107,107
108,Feedback,Resolved,108,108
109,Support Call,Pending,109,109
110,Product Inquiry,Pending,110,110
111,Support Call,Escalated,111,111
112,Product Inquiry,Pending,112,112
113,Product Inquiry,Closed,113,113
114,Product Inquiry,Escalated,114,114
115,Feedback,Closed,115,115
116,Feedback,Closed,116,116
117,Support Call,Resolved,117,117
118,Support Call,Escalated,118,118
119,Product Inquiry,Resolved,119,119
120,Product Inquiry,Escalated,120,120
121,Feedback,Closed,121,121
122,Support Call,Pending,122,122
123,Support Call,Closed,123,123
124,Product Inquiry,Escalated,124,124
125,Feedback,Pending,125,125
126,Product Inquiry,Resolved,126,126
127,Product Inquiry,Closed,127,127
128,Feedback,Pending,128,128
129,Feedback,Escalated,129,129
130,Feedback,Pending,130,130
131,Support Call,Resolved,131,131
132,Product Inquiry,Closed,132,132
133,Feedback,Escalated,133,133
134,Feedback,Resolved,134,134
135,Feedback,Resolved,135,135
136,Product Inquiry,Resolved,136,136
137,Feedback,Escalated,137,137
138,Product Inquiry,Closed,138,138
139,Product Inquiry,Resolved,139,139
140,Product Inquiry,Closed,140,140
141,Feedback,Escalated,141,141
142,Feedback,Closed,142,142
143,Product Inquiry,Escalated,143,143
144,Product Inquiry,Resolved,144,144
145,Product Inquiry,Resolved,145,145
146,Support Call,Closed,146,146
147,Feedback,Resolved,147,147
148,Product Inquiry,Escalated,148,148
149,Product Inquiry,Resolved,149,149
150,Feedback,Resolved,150,150
151,Support Call,Closed,151,151
152,Feedback,Resolved,152,152
153,Support Call,Closed,153,153
154,Product Inquiry,Escalated,154,154
155,Product Inquiry,Pending,155,155
156,Feedback,Pending,156,156
157,Feedback,Escalated,157,157
158,Feedback,Closed,158,158
159,Feedback,Closed,159,159
160,Feedback,Closed,160,160
161,Support Call,Escalated,161,161
162,Feedback,Escalated,162,162
163,Feedback,Resolved,163,163
164,Product Inquiry,Resolved,164,164
165,Support Call,Escalated,165,165
166,Feedback,Resolved,166,166
